subdist_ID,population
100101,4089
100102,11586
100103,3402
100104,3431
100105,3280
100106,2360
100107,5079
100108,2578
100109,2021
100110,6980
100111,4732
100112,2984
100201,13954
100202,11600
100203,9438
100204,7585
100206,55873
100301,37469
100302,20528
100303,8823
100304,10864
100305,33455
100306,17434
100307,29912
100308,9359
100401,11944
100402,16245
100403,5345
100404,2902
100405,10872
100502,95915
100508,94913
100601,80437
100608,67955
100701,17655
100702,7623
100703,6059
100704,18257
100801,15934
100802,7294
100803,9807
100804,7189
100805,7226
100905,91305
101001,96899
101002,44315
101101,29474
101102,66991
101103,15483
101104,23696
101105,28320
101106,7969
101203,48997
101204,30577
101301,7680
101302,9201
101303,7904
101401,72102
101501,9340
101502,12693
101503,21903
101504,17072
101505,16408
101506,17647
101507,15964
101601,13921
101602,53966
101701,25184
101702,17056
101704,38950
101801,13667
101802,16008
101803,25128
101804,19068
101901,10660
101902,25132
101903,24503
101904,13845
101905,19436
101907,11713
102004,16652
102005,32419
102006,9511
102007,33291
102009,20708
102105,57030
102107,122738
102201,37977
102202,29557
102206,8199
102207,19009
102208,11240
102209,15083
102210,6517
102302,78841
102303,76388
102401,33420
102402,49828
102501,24138
102502,25255
102503,19029
102504,25349
102601,123966
102701,69682
102704,28023
102705,46744
102801,39763
102802,21071
102803,19663
102901,81838
102902,44298
103001,43919
103002,20065
103003,38952
103004,31180
103005,24014
103101,25510
103102,27058
103103,37809
103201,83072
103202,42765
103203,46924
103301,69264
103302,11321
103303,23626
103401,121740
103501,37526
103502,35576
103503,45151
103504,35415
103602,62838
103604,82026
103605,24032
103701,32131
103702,9047
103703,14844
103704,16414
103801,93338
103802,27662
103901,8612
103902,53272
103903,22644
104001,39433
104002,60340
104003,40262
104004,52378
104101,77494
104102,28094
104201,78615
104202,36104
104203,85655
104301,45794
104302,49575
104401,94982
104501,25472
104502,12430
104503,29826
104504,45121
104601,54670
104602,25656
104603,80949
104604,11838
104605,16394
104701,92023
104801,22613
104802,55277
104901,54546
104902,66430
105001,107136
